worker_id,worker_time_acl,worker_try
A9JYYUZL9MQYA,"Sat, 15 Jan 2022 09:03:36 GMT",1
A34AWQYVH39VAO,"Thu, 13 Jan 2022 15:45:32 GMT",1
A3JEGVPKAYOBB5,"Sat, 15 Jan 2022 09:35:23 GMT",1
A2ZUTR7WZ2X5PN,"Mon, 10 Jan 2022 14:19:31 GMT",1
AAAAAAAA,"Thu, 30 Dec 2021 19:35:09 GMT",1
A18GNNFWPQO3QP,"Sat, 08 Jan 2022 13:22:47 GMT",1
11122332,"Mon, 03 Jan 2022 17:41:55 GMT",1
ACPHDBVLRD6KI,"Sat, 15 Jan 2022 17:04:56 GMT",1
A2A943S2MXB74M,"Sun, 09 Jan 2022 18:06:18 GMT",1
11122333,"Mon, 03 Jan 2022 17:00:11 GMT",1
AEDC8F0PSC9YQ,"Sat, 15 Jan 2022 10:23:52 GMT",1
A2DDCHY8H5Q7NW,"Mon, 10 Jan 2022 14:27:37 GMT",1
AT84D30K96VW4,"Sat, 15 Jan 2022 13:26:27 GMT",1
A3PBO7GHMHLQ07,"Sat, 15 Jan 2022 14:25:46 GMT",1
11122334,"Mon, 03 Jan 2022 17:54:45 GMT",1
A2TLN0LSNG4H0J,"Fri, 07 Jan 2022 11:37:41 GMT",1
L6nHWb0OU3m8Uj,"Mon, 10 Jan 2022 15:43:59 GMT",1
A2J2FK73PAOB09,"Fri, 07 Jan 2022 11:47:18 GMT",1
A3DS0MROKEK8GH,"Sat, 15 Jan 2022 09:07:40 GMT",1
A2BVCWY95JJUKN,"Sat, 15 Jan 2022 11:30:46 GMT",1
ACPHDBVLRD6KK,"Fri, 07 Jan 2022 11:13:00 GMT",1
null,"Fri, 07 Jan 2022 10:58:07 GMT",1
A2GY65450CQSBU,"Sat, 15 Jan 2022 08:48:02 GMT",1
