HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.token_output,HITGroupId,HITLayoutId,HITReviewStatus,HITStatus,Input.token_input,Input.token_output,NumberOfAssignmentsAvailable,NumberOfAssignmentsCompleted,NumberOfAssignmentsPending
3Y3N5A7N5PISXUNXONOGLZ5LVNEMY3,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,31LVTDXBLHJ1HVRJ0I082ATENCHRL1,A2GY65450CQSBU,Approved,2022-01-15 08:47:51+00:00,2022-01-15 08:55:18+00:00,2022-01-18 08:55:18+00:00,2022-01-15 10:51:18+00:00,,,,,,,UGEOOBVXXCU,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,JDFUOQKPNTT,UGEOOBVXXCU,0.0,1.0,0.0
3GL25Y685C33XPXNJR2E2LYCTHKMXX,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,3WLEIWSYHYQIRFR8U7699ASZU132HX,ACPHDBVLRD6KK,Approved,2022-01-07 11:12:55+00:00,2022-01-07 11:15:42+00:00,2022-01-10 11:15:42+00:00,2022-01-07 11:16:35+00:00,,,,,,,VOIRMDANOCT,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,VWYFILFHQKD,VOIRMDANOCT,0.0,1.0,0.0
3P6ENY9P8I5KFG7HT8M07631OIHIHK,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,386CSBG1O9VJM99C0Z56811C1VR6Q8,A3JEGVPKAYOBB5,Approved,2022-01-15 09:31:42+00:00,2022-01-15 09:53:58+00:00,2022-01-18 09:53:58+00:00,2022-01-15 10:51:17+00:00,,,,,,,WCYRTHGTWWK,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,PZHCKJKMVJE,WCYRTHGTWWK,0.0,1.0,0.0
3OEWW2KGRSKDZMDI57GF0IKP8ZNDO1,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,3OONKJ5DKMSM79DRHDUAUCS40TUBOW,A2J2FK73PAOB09,Approved,2022-01-07 11:47:04+00:00,2022-01-07 12:01:30+00:00,2022-01-10 12:01:30+00:00,2022-01-07 13:27:06+00:00,,,,,,,MGMUGQIKPOK,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,XWGGMHZILKN,MGMUGQIKPOK,0.0,1.0,0.0
39HYCOOPLXUPZJS6SR128EVKDZ8DMM,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,3DZQRBDBSVOW261791WDWY4T9SE3SS,ACPHDBVLRD6KK,Approved,2022-01-15 17:04:33+00:00,2022-01-15 17:07:41+00:00,2022-01-18 17:07:41+00:00,2022-01-15 17:09:08+00:00,,,,,,,VHXHHAZZJUV,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,QMRLWCNQFYB,VHXHHAZZJUV,0.0,1.0,0.0
366FYU4PUPYZ11633AZ6ZJL1O6EKEH,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,39U1BHVTDV0XH6EMY113630FBBP3TE,AEDC8F0PSC9YQ,Approved,2022-01-15 10:23:40+00:00,2022-01-15 10:32:05+00:00,2022-01-18 10:32:05+00:00,2022-01-15 10:51:17+00:00,,,,,,,UDNDEPGAYKV,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,PPPJDDKIBBB,UDNDEPGAYKV,0.0,1.0,0.0
3JMQI2OLG8EVH1D64SG2LTKKIPIDNM,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,30IQTZXKAUF8HVO9KOKHT8NELVUX0X,AT84D30K96VW4,Approved,2022-01-15 13:26:18+00:00,2022-01-15 13:37:57+00:00,2022-01-18 13:37:57+00:00,2022-01-15 14:20:07+00:00,,,,,,,AQHHYRFJYDK,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,MUPEHUAQNQI,AQHHYRFJYDK,0.0,1.0,0.0
3T6SSHJU0OJKBBI1ZQ4L7I4GOVWIID,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,30JNVC0ORJTZJYTTWIWA5SQ2A98QHU,A2BVCWY95JJUKN,Approved,2022-01-15 11:22:14+00:00,2022-01-15 11:46:27+00:00,2022-01-18 11:46:27+00:00,2022-01-15 14:20:07+00:00,,,,,,,NJPYYTTXLID,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,DMXLTGDYTBW,NJPYYTTXLID,0.0,1.0,0.0
3VADEH0UIL61MB81HXOJKHBFJ7TPSO,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,333U7HK6IJO1LVKEFWTBH6ZI4KXJDT,A18GNNFWPQO3QP,Approved,2022-01-08 13:22:36+00:00,2022-01-08 13:35:10+00:00,2022-01-11 13:35:10+00:00,2022-01-08 16:59:09+00:00,,,,,,,FNOFBMULMUL,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,VBKKKEWADYB,FNOFBMULMUL,0.0,1.0,0.0
3D42WVSDIH4MRKVG20K3Q9LCYM2FYP,3VFQQ8MLFM8Z6NEY2JGGCAJA12A4BF,Analyze Tweets - Social Computing UniUD,"In this task, you will analyze five different tweets and for each one you need to answer four questions.","tweet, socialcomputing",0.01,2022-01-07 11:11:22+00:00,1,BatchId:343999;OriginalHitTemplateId:921587254;,7200,259200,2022-02-06 11:11:22+00:00,,,31IBVUNM9287AAY4NR2K8UDXBM8VFT,A3DS0MROKEK8GH,Approved,2022-01-15 09:07:31+00:00,2022-01-15 09:18:05+00:00,2022-01-18 09:18:05+00:00,2022-01-15 10:51:17+00:00,,,,,,,USZPVTUGUWD,326T9PSZYAE9S8NMD8PF3Z7A96IJPO,3JVXL2NQAPGHMCPFX3R7EDDMFW1K5S,NotReviewed,Reviewable,FDBOKEMITEA,USZPVTUGUWD,0.0,1.0,0.0
